No.,Place  of measurement,Place  of measurement,Type of place,Type of place,Description,75-87,"87-109
FM","109-300 VHF-TV, CB, AirCom",300 - 450 TETRA,"450-860
UHF-TV, LTE-800","860-1000
GSM-900","1000 - 1700 Navigation, GPS, DAB","1700-2200 GSM-1800, UMTS","2200-3000 WiFi, LTE-2600","75-3000
TOTAL",Location,"Coordinates (Latitude,Longtitude)"
330,PK,Room,I,U,2F,0.02491,0.03025,0.05569,0.03448,0.04247,0.03034,0.05201,0.09216,0.13323,0.194,,
331,PK,RT,O,U,,0.10113,0.9551,0.11111,0.06572,0.11972,1.8072,0.10448,4.0618,0.26522,4.561,A02.22.02.2016 COSMOTE DAFNI,
332,PK,RT,O,U,,0.11025,1.1671,0.09098,0.05844,0.17947,1.1905,0.08456,3.2542,0.21913,3.672,,
333,PK,RT,O,U,,0.11438,1.4272,0.05719,0.03776,0.18615,1.2788,0.05395,1.7609,0.13714,2.617,,
334,PK,RT,O,U,,0.12254,1.2096,0.07202,0.04495,0.18861,2.0481,0.06722,2.5268,0.16888,3.483,,
335,PK,Room,I,U,4F,0.05488,0.78993,0.05634,0.03429,0.12948,0.35703,0.05339,0.38649,0.13489,0.973,,
336,PK,Room,I,U,4F,0.02748,0.14891,0.05618,0.03272,0.05203,0.18548,0.05217,0.26774,0.13435,0.396,,
337,PK,Room,I,U,,0.02496,0.02904,0.05604,0.03258,0.1047,0.1006,0.05215,0.10095,0.14211,0.245,A04.23.02.2016 COSMOTE PYRGO,
338,PK,Street,O,U,,0.02468,0.02952,0.05594,0.03258,0.19416,0.02485,0.05226,0.06308,0.23977,0.329,,
339,PK,Street,O,U,,0.02486,0.02976,0.05628,0.03269,0.07525,0.13628,0.05221,0.22747,0.13653,0.321,,
340,PK,Street,O,U,,0.02528,0.03122,0.05622,0.0326,0.1045,0.31595,0.05249,0.34751,0.1345,0.508,,
341,PK,B,I,U,5F,0.06958,0.1042,0.15445,0.08958,0.15966,3.792,0.14395,6.2968,0.37425,7.366,,
342,PK,Room,I,U,5F,0.02512,0.03166,0.05649,0.03284,0.04647,1.224,0.05235,2.3004,0.13498,2.611,,
343,PK,Room,I,U,5F,0.03545,0.04679,0.07979,0.04593,0.06808,1.4713,0.07441,2.9745,0.19003,3.327,,
344,PK,B,I,U,4F,0.02845,0.05655,0.06241,0.03638,0.11664,1.5018,0.05806,2.1951,0.1499,2.669,,
345,PK,Street,O,U,,0.02488,0.03315,0.05631,0.03265,0.05013,0.15764,0.05222,0.18393,0.13399,0.296,,
346,PK-Hotel,B,I,SU,1F,0.02493,0.02879,0.05544,0.03222,0.04271,0.06623,0.05174,0.24728,0.13357,0.306,A07.27.09.2016 COSMOTE KYTHNOS 1,
347,PK-Hotel,Room,I,SU,2F,0.02489,0.02884,0.05559,0.03228,0.04235,0.02693,0.05172,0.0731,0.13239,0.183,,
348,PK-Hotel,Room,I,SU,2F,0.02511,0.02898,0.05539,0.03235,0.0423,0.02734,0.05175,0.08553,0.13224,0.189,,
349,PK-Hotel,Street,O,SU,,0.02481,0.02874,0.05547,0.03237,0.04247,0.18752,0.05189,0.60501,0.13269,0.655,,
350,PK-Hotel,B,I,SU,3F,0.02461,0.02875,0.05555,0.03232,0.04226,0.14306,0.05179,0.08851,0.13376,0.237,,
351,PK-Hotel,B,I,SU,3F,0.02477,0.02894,0.0554,0.03215,0.04281,0.08735,0.0517,0.38957,0.13187,0.432,,
352,PK-Hotel,Bed Room,I,SU,3F,0.025,0.02876,0.05551,0.0322,0.04251,0.05277,0.05166,0.18224,0.1332,0.253,,
353,PK-Hotel,Bed Room,I,SU,3F,0.02439,0.02895,0.05534,0.03225,0.04271,0.04556,0.05163,0.0995,0.15071,0.211,,
354,PK-Hotel,Bed Room,I,SU,4F,0.02465,0.02877,0.05304,0.03026,0.04525,0.09573,0.01174,0.66019,0.12067,0.683,,
355,PK-Hotel,B,I,SU,1F,0.0715,0.09881,0.18387,0.04675,0.09655,0.13393,0.02302,6.25091,0.24114,6.262,,
356,PK-Hotel,Street,O,SU,,0.02477,0.02899,0.05549,0.0324,0.04311,0.27975,0.05178,0.30137,0.13209,0.443,,
357,PK-Hotel,Street,O,SU,,0.02496,0.02953,0.05577,0.03247,0.04407,0.97552,0.05213,0.55925,0.13317,1.137,,
358,,Street,O,U,,0.0392,0.06103,0.0885,0.05028,0.08278,0.09049,0.08274,4.5329,0.21082,4.542,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
359,,Street,O,U,,0.0315,0.05332,0.07041,0.04082,0.16576,0.25461,0.06598,2.5757,0.16806,2.602,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
360,,Street,O,U,,0.02575,0.04032,0.05585,0.03242,0.05669,0.07543,0.05204,0.46789,0.13379,0.505,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
361,,Street,O,U,,0.02513,0.04449,0.05576,0.03257,0.05837,0.07827,0.05228,1.9733,0.13599,1.983,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
362,,Street,O,U,,0.02533,0.03787,0.05628,0.03267,0.05062,0.12064,0.05232,0.63332,0.1343,0.667,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
363,,Street,O,U,,0.02497,0.03909,0.05615,0.063,0.04548,0.06055,0.05209,0.184,0.13814,0.266,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
364,,Street,O,U,,0.02523,0.04659,0.05642,0.0328,0.0455,0.04327,0.05212,0.10216,0.13358,0.205,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
365,,Street,O,U,,0.02583,0.04466,0.05631,0.03289,0.13195,0.23594,0.05237,0.14864,0.13425,0.351,A03.23.02.2016 COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
366,,RT,O,R,,0.02429,0.03641,0.05507,0.03329,0.40809,1.3214,0.05163,1.3696,0.13198,1.953,A05.24.02.2016 COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
367,,RT,O,R,,0.02486,0.03687,0.05576,0.0342,0.49569,1.6707,0.05191,1.3007,0.13483,2.181,A05.24.02.2016 COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
368,,RT,O,R,,0.02526,0.03692,0.05567,0.03345,0.33837,0.84782,0.05194,0.61559,0.13404,1.113,A05.24.02.2016 COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
369,,RT,O,R,,0.02501,0.03202,0.05605,0.03291,0.35338,0.92126,0.05211,0.71866,0.13392,1.232,A05.24.02.2016 COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
370,,Room,I,R,4F,0.02483,0.04433,0.05613,0.03356,0.05161,0.20307,0.05209,0.41407,0.13505,0.493,A05.24.02.2016 COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
371,,Saloni,I,R,4F,0.0252,0.03303,0.05625,0.14501,0.05217,0.39395,0.0523,0.74482,0.13406,0.871,A05.24.02.2016 COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
372,,Street,O,R,,0.02476,0.03279,0.05577,0.03245,0.0458,0.07147,0.05213,0.12172,0.13691,0.222,A06.24.02.2016 COSMOTE ARGOSTOLI,
373,,Street,O,R,,0.02463,0.03505,0.05604,0.03256,0.04451,0.05835,0.05223,0.08503,0.13408,0.198,,
374,,Street,O,R,,0.0253,0.0312,0.05599,0.03246,0.0426,0.02888,0.05205,0.07304,0.13348,0.185,,
375,,Street,O,SU,,0.02416,0.02847,0.05658,0.03222,0.0409,0.0588,0.01176,0.38765,0.07164,0.408,A08.27.09.2016 COSMOTE KYTHNOS 2,
376,,Street,O,SU,,0.02492,0.02879,0.05494,0.03226,0.04249,0.15796,0.01187,0.36929,0.07423,0.417,,
377,,Street,O,SU,,0.02496,0.02953,0.05577,0.03247,0.04407,0.02903,0.01385,0.98739,0.07338,0.994,,
378,,Street,O,SU,,0.02439,0.02895,0.05534,0.03225,0.04271,0.02779,0.01231,0.09155,0.07357,0.149,,
379,,Street,O,SU,,0.02477,0.02899,0.05549,0.0324,0.04311,0.14119,0.01189,0.45361,0.0736,0.489,,
380,,Street,O,SU,,0.02552,0.03013,0.05744,0.03331,0.04607,0.77909,0.05356,1.50922,0.13981,1.707,,
381,,Street,O,SU,,0.06824,0.09587,0.16902,0.03677,0.09626,0.12849,0.02304,5.16503,0.23437,5.177,,
382,AP,Street,O,R,,0.02528,0.04295,0.05782,0.03427,0.6273,0.55805,0.05846,0.95379,0.15798,1.285,A09.05.10.2016 COSMOTE HLEIAS,"37.67992324252198, 21.43840053290035"
383,AP,Street,O,R,,0.02516,0.03847,0.05771,0.03412,0.45538,0.54009,0.05855,0.92673,0.15848,1.18,A09.05.10.2016 COSMOTE HLEIAS,"37.67992324252198, 21.43840053290035"
384,AP,Street,O,R,,0.0256,0.04319,0.05776,0.03407,0.37805,0.46278,0.05859,0.74962,0.15804,0.977,A09.05.10.2016 COSMOTE HLEIAS,"37.67992324252198, 21.43840053290035"
385,AP,Street,O,R,,0.02539,0.04525,0.05805,0.03441,0.42143,0.47097,0.05872,0.74989,0.15869,0.999,A09.05.10.2016 COSMOTE HLEIAS,"37.67992324252198, 21.43840053290035"
386,AP,Street,O,R,,0.02516,0.03898,0.05787,0.03422,0.32106,0.3524,0.05818,0.58136,0.17137,0.778,A09.05.10.2016 COSMOTE HLEIAS,"37.67992324252198, 21.43840053290035"
387,AP,Street,O,R,,0.02487,0.0394,0.05761,0.03423,0.47475,0.47061,0.05837,0.61114,0.15893,0.925,A09.05.10.2016 COSMOTE HLEIAS,"37.67992324252198, 21.43840053290035"
388,AP,Street,O,R,,0.02551,0.04271,0.05762,0.03422,0.38607,0.51405,0.05841,0.60863,0.15768,0.905,A09.05.10.2016 COSMOTE HLEIAS,"37.67992324252198, 21.43840053290035"
389,AP,Street,O,R,,0.02486,0.03579,0.05756,0.03396,0.45573,0.38747,0.05819,0.41154,0.15707,0.749,A09.05.10.2016 COSMOTE HLEIAS,"37.67992324252198, 21.43840053290035"
390,AP,Street,O,R,,0.02539,0.0387,0.05775,0.03409,0.14053,0.43195,0.05818,0.26381,0.15763,0.557,A09.05.10.2016 COSMOTE HLEIAS,"37.67992324252198, 21.43840053290035"
391,,Street,O,SU,,0.02528,0.02976,0.05689,0.03378,0.38464,0.91566,0.05769,0.15485,0.15621,1.022,A10.21.11.2016 COSMOTE AG. PELAGIA KYTHIRA,"36.325988781415795, 22.98145268014568"
392,,B,I,SU,,0.02499,0.03161,0.05706,0.03387,0.37825,0.87249,0.05779,0.55085,0.15566,1.114,A10.21.11.2016 COSMOTE AG. PELAGIA KYTHIRA,"36.325988781415795, 22.98145268014568"
393,,B,I,SU,,0.0257,0.03235,0.05751,0.03398,0.08949,0.1083,0.05802,0.10614,0.15718,0.255,A10.21.11.2016 COSMOTE AG. PELAGIA KYTHIRA,"36.325988781415795, 22.98145268014568"
394,,B,I,SU,,0.02558,0.03212,0.05785,0.03412,0.14453,0.2429,0.05836,0.75828,0.15798,0.83,A10.21.11.2016 COSMOTE AG. PELAGIA KYTHIRA,"36.325988781415795, 22.98145268014568"
395,,Street,O,SU,,0.02557,0.03047,0.05759,0.03411,0.21483,0.15627,0.05837,0.51132,0.15757,0.605,A10.21.11.2016 COSMOTE AG. PELAGIA KYTHIRA,"36.325988781415795, 22.98145268014568"
396,,Street,O,SU,,0.02564,0.03211,0.05785,0.03428,0.08081,0.09312,0.0584,0.28905,0.15916,0.366,A10.21.11.2016 COSMOTE AG. PELAGIA KYTHIRA,"36.325988781415795, 22.98145268014568"
397,,Street,O,SU,,0.02552,0.03017,0.05768,0.03413,0.14619,0.41397,0.05824,0.11658,0.15764,0.491,A10.21.11.2016 COSMOTE AG. PELAGIA KYTHIRA,"36.325988781415795, 22.98145268014568"
398,,Street,O,SU,,0.02554,0.03041,0.05752,0.03428,0.09702,0.24923,0.05842,0.36694,0.15858,0.491,A10.21.11.2016 COSMOTE AG. PELAGIA KYTHIRA,"36.325988781415795, 22.98145268014568"
399,,Street,O,SU,,0.0254,0.03053,0.05757,0.03409,0.17428,0.54247,0.05823,0.53456,0.15778,0.803,A10.21.11.2016 COSMOTE AG. PELAGIA KYTHIRA,"36.325988781415795, 22.98145268014568"
400,AP,Street,O,R,,0.02517,0.03058,0.05743,0.03401,0.04577,0.02618,0.05813,0.69821,0.1683,0.727,A11.21.11.2016 COSMOTE ARAIO SAR KYTHIRA,
401,AP,Street,O,R,,0.02548,0.03089,0.05773,0.03416,0.04605,0.02647,0.05847,0.75766,0.15872,0.782,,
402,AP,Street,O,R,,0.02549,0.03066,0.05765,0.03419,0.04611,0.03341,0.05834,0.70638,0.15769,0.733,,
403,AP,Street,O,R,,0.02551,0.03059,0.05744,0.03403,0.04615,0.02852,0.05818,0.92393,0.15743,0.944,,
404,AP,Street,O,R,,0.02543,0.03031,0.05754,0.03394,0.04576,0.02595,0.05811,0.25099,0.15688,0.316,,
405,AP,Street,O,R,,0.0254,0.03017,0.05786,0.03414,0.0458,0.03612,0.05827,0.17929,0.15753,0.264,,
406,,Street,O,R,,0.02495,0.05437,0.05669,0.03421,0.04733,0.0371,0.05756,0.14247,0.15739,0.245,A12.06.12.2016 COSMOTE DHLESI 1,
407,,Street,O,R,,0.02539,0.079,0.05711,0.03389,0.0477,0.07924,0.05781,0.17462,0.15589,0.279,,
408,,Street,O,R,,0.02503,0.06935,0.05724,0.03449,0.04878,0.05575,0.05787,0.12854,0.15634,0.244,,
409,,Street,O,R,,0.02573,0.05906,0.0575,0.03414,0.0469,0.0325,0.05796,0.18497,0.15612,0.272,,
410,,Street,O,R,,0.02538,0.09031,0.05735,0.03436,0.04606,0.04301,0.05805,0.1176,0.15632,0.243,,
411,,Street,O,R,,0.02506,0.06229,0.05725,0.03404,0.04554,0.03002,0.0578,0.09147,0.15759,0.22,,
412,,Street,O,R,,0.02508,0.04067,0.05765,0.03403,0.04587,0.02864,0.05832,0.10617,0.1571,0.221,,
413,,Street,O,R,,0.02551,0.06402,0.05719,0.03432,0.04598,0.03047,0.05787,0.11118,0.15649,0.229,,
414,,Street,O,R,,0.02536,0.14185,0.0577,0.03445,0.04653,0.03689,0.05795,0.10175,0.15658,0.259,,
415,,Street,O,R,,0.02565,0.06103,0.05749,0.03401,0.04776,0.06801,0.0581,0.13154,0.16716,0.254,,
416,,Street,O,R,,0.02519,0.03457,0.05733,0.03409,0.04635,0.0266,0.05802,0.27282,0.1568,0.334,,
417,,Street,O,R,,0.02538,0.03329,0.05752,0.03396,0.04674,0.03324,0.05816,0.08641,0.16075,0.215,,
418,,Street,O,U,,0.02565,0.21242,0.0564,0.03362,0.27879,0.23195,0.05752,0.24618,0.15613,0.52,A13.08.12.2016 COSMOTE NEO PSIXIKO,
419,,Street,O,U,,0.02633,0.21736,0.05676,0.03407,0.1469,0.18929,0.05758,0.23926,0.15552,0.441,,
420,,Street,O,U,,0.03071,0.38599,0.05704,0.0353,0.09113,0.10903,0.0579,0.22243,0.1575,0.502,,
421,,Street,O,U,,0.02704,0.47925,0.05709,0.03455,0.12209,0.12632,0.05797,0.40248,0.15596,0.675,,
422,,Street,O,U,,0.02704,0.25517,0.05759,0.03453,0.20326,0.32687,0.05827,0.53532,0.15759,0.73,,
423,,Street,O,U,,0.02743,0.54308,0.05755,0.03663,0.22068,0.29976,0.05816,0.29996,0.15795,0.746,,
424,,Street,O,U,,0.03732,0.65538,0.0573,0.03491,0.42394,0.71979,0.05801,0.55553,0.15761,1.212,,
425,,Street,O,U,,0.02531,0.29884,0.05691,0.03393,0.1608,0.17958,0.05747,0.284,0.15492,0.51,,
426,,Street,O,U,,0.02936,0.35762,0.0571,0.03421,0.37166,0.54918,0.05791,0.89629,0.15558,1.185,,
427,,Street,O,U,,0.02675,0.32347,0.05704,0.03422,0.19607,0.34195,0.05769,0.39501,0.15866,0.671,,
428,,Street,O,U,,0.02696,0.2767,0.05742,0.03468,0.21424,0.73438,0.05829,1.20987,0.15765,1.469,,
429,,Street,O,U,,0.02981,0.3652,0.05739,0.03439,0.12106,0.20072,0.05856,0.20898,0.16159,0.517,,
430,,Street,O,U,,0.03045,0.34785,0.05766,0.03474,0.61147,0.9808,0.05939,0.61918,0.18399,1.372,,
431,AP,Street,O,R,,0.02493,0.05195,0.05659,0.03354,0.10849,0.28783,0.05746,0.36164,0.15594,0.511,A14.16.12.2016 COSMOTE ANO ZIRIA AXAIAS,"38.30332145931747, 21.947836005625962"
432,AP,Street,O,R,,0.02527,0.04634,0.05687,0.03391,0.09968,0.32655,0.05777,0.47751,0.15703,0.616,A14.16.12.2016 COSMOTE ANO ZIRIA AXAIAS,"38.30332145931747, 21.947836005625962"
433,AP,Street,O,R,,0.02531,0.0488,0.0572,0.03395,0.09089,0.45277,0.05803,0.26298,0.15732,0.564,A14.16.12.2016 COSMOTE ANO ZIRIA AXAIAS,"38.30332145931747, 21.947836005625962"
434,AP,Street,O,R,,0.02509,0.04641,0.05736,0.03406,0.1467,0.61398,0.05822,0.22885,0.15883,0.698,A14.16.12.2016 COSMOTE ANO ZIRIA AXAIAS,"38.30332145931747, 21.947836005625962"
435,AP,Street,O,R,,0.02533,0.05549,0.05738,0.03398,0.12625,0.23947,0.05799,0.25864,0.15726,0.42,A14.16.12.2016 COSMOTE ANO ZIRIA AXAIAS,"38.30332145931747, 21.947836005625962"
436,AP,Street,O,R,,0.02544,0.05702,0.05761,0.03417,0.22618,0.28704,0.05838,0.30542,0.15851,0.514,A14.16.12.2016 COSMOTE ANO ZIRIA AXAIAS,"38.30332145931747, 21.947836005625962"
437,AP,Street,O,R,,0.02537,0.03107,0.05694,0.03373,0.14069,0.02636,0.05789,0.07505,0.2013,0.276,A15.17.12.2016 COSMOTE GALANIO ARTAS,
438,AP,Street,O,R,,0.0253,0.03231,0.05735,0.034,0.06479,0.02738,0.05808,0.08778,0.16175,0.22,,
439,AP,Street,O,R,,0.02534,0.03298,0.05743,0.03452,0.55975,0.02474,0.05829,0.07867,0.19946,0.608,,
440,AP,Street,O,R,,0.02544,0.0349,0.05742,0.03409,0.52718,0.02467,0.05809,0.18353,0.16952,0.592,,
441,AP,Street,O,R,,0.02545,0.03138,0.05734,0.03403,0.10202,0.02741,0.05825,0.07871,0.16017,0.229,,
442,AP,Street,O,R,,0.02523,0.03077,0.05749,0.03406,0.23869,0.02534,0.05825,0.07157,0.19451,0.332,,
443,,Street,O,R,,0.02531,0.05252,0.05689,0.03436,0.22206,0.40236,0.05783,0.80646,0.15696,0.947,A16.20.12.2016 COSMOTE DHLESI 2,
444,,Street,O,R,,0.02583,0.07021,0.05759,0.03416,0.31927,0.66041,0.0582,1.3591,0.15986,1.557,,
445,,Street,O,R,,0.02523,0.06,0.05725,0.03454,0.45043,1.16266,0.05802,1.23369,0.15953,1.765,,
446,,Street,O,R,,0.02516,0.05651,0.0574,0.0342,0.24287,0.48547,0.05808,0.23596,0.1581,0.622,,
447,,Street,O,R,,0.02585,0.09867,0.05788,0.0345,0.14419,0.34807,0.05842,0.24446,0.15832,0.495,,
448,,Street,O,R,,0.02567,0.0622,0.05782,0.03433,0.05664,0.11714,0.0586,0.13652,0.15837,0.27,,
449,,Street,O,R,,0.02593,0.03911,0.05778,0.03419,0.31964,0.70682,0.05854,0.80705,0.15862,1.135,,
450,,Street,O,R,,0.02555,0.05941,0.05757,0.03436,0.76661,1.50998,0.05834,0.66123,0.15771,1.828,,
451,,Street,O,R,,0.02763,0.11283,0.06241,0.03727,0.75398,2.34456,0.06312,1.46071,0.17122,2.872,,
452,,Street,O,R,,0.02547,0.06374,0.05782,0.03418,0.28825,0.8736,0.05841,0.72538,0.20001,1.194,,
453,,Street,O,R,,0.02581,0.03291,0.05742,0.03394,0.04843,0.04235,0.05828,0.1456,0.15938,0.246,,
454,,Street,O,R,,0.0253,0.03197,0.0574,0.03405,0.0512,0.04701,0.05811,0.14095,0.1574,0.243,,
455,Oikeia,RT,O,SU,,0.02467,0.02931,0.05544,0.03214,0.14132,0.03179,0.05177,0.09143,0.13237,0.235,A08.11.05.2017 COSMOTE NAXOS,
456,Oikeia,RT,O,SU,,0.02491,0.02902,0.05541,0.03223,0.12992,0.02419,0.05186,0.09726,0.19367,0.27,,
457,Oikeia,RT,O,SU,,0.02534,0.02932,0.05575,0.03235,0.0918,0.02973,0.05226,0.08641,0.13314,0.207,,
458,Oikeia,RT,O,SU,,0.02478,0.03015,0.05581,0.03262,0.12815,0.0293,0.05223,0.09145,0.13306,0.228,,
459,Oikeia,Street,O,SU,,0.0251,0.02932,0.05582,0.03241,0.05558,0.03274,0.05204,0.09076,0.19208,0.24,,
460,Oikeia,Room,I,SU,1F,0.02444,0.02946,0.05605,0.03255,0.05744,0.02259,0.05214,0.07903,0.13359,0.19,,
461,Oikeia,Room,I,SU,1F,0.02552,0.02944,0.05631,0.03263,0.06745,0.02144,0.05232,0.06315,0.13408,0.188,,
462,PK-Hotel,B,I,SU,,0.03344,0.04012,0.07651,0.04501,1.18079,1.40258,0.07743,0.59416,0.22054,1.944,A09.30.05.2017 COSMOTE SKYROS MAGAZIA,
463,PK-Hotel,RT,O,SU,,0.03167,0.03766,0.0721,0.04262,1.05491,2.78062,0.07304,0.65842,0.2974,3.063,,
464,PK-Hotel,RT,O,SU,,0.02575,0.03047,0.05834,0.03443,0.8332,1.7279,0.05856,0.35086,0.16028,1.959,,
465,PK-Hotel,RT,O,SU,,0.04149,0.04929,0.09456,0.05602,1.3069,3.83152,0.09568,0.50403,0.25982,4.091,,
466,PK-Hotel,Street,O,SU,,0.02583,0.03056,0.05832,0.03469,0.69237,1.88795,0.05868,0.45019,0.16011,2.069,,
467,PK-Hotel,Street,O,SU,,0.02567,0.03035,0.05839,0.03454,0.12512,0.46142,0.05842,0.34175,0.163,0.618,,
468,PK-Hotel,Street,O,SU,,0.02582,0.03028,0.05821,0.03448,0.23993,0.84664,0.05842,0.20196,0.15876,0.922,,
469,PK-Hotel,Street,O,SU,,0.02578,0.03039,0.05813,0.03444,0.44093,0.72267,0.05819,0.1844,0.15787,0.886,,
470,PK-Hotel,Street,O,SU,,0.02584,0.03013,0.05806,0.03434,0.4473,0.83987,0.05827,0.14,0.15813,0.98,,
471,PK-Hotel,Street,O,SU,,0.02545,0.03036,0.05794,0.03451,0.43791,1.34873,0.058,0.46117,0.15833,1.503,,
472,PK-Hotel,Street,O,SU,,0.02565,0.03024,0.05782,0.03437,0.42273,0.82021,0.05793,0.33146,0.16075,0.998,,
473,PK-Hotel,Street,O,SU,,0.02554,0.03037,0.05815,0.03459,0.45327,1.04165,0.05856,0.46399,0.15894,1.241,,
474,PK-Hotel,Street,O,SU,,0.02574,0.03063,0.05842,0.03469,0.60674,1.9546,0.05851,0.48721,0.15954,2.112,,
475,PK-Hotel,Street,O,SU,,0.02585,0.03037,0.05803,0.03431,0.20944,0.96378,0.05818,0.31225,0.15769,1.051,,
476,School,Room,I,U,1F,0.06733,0.27873,0.05952,0.03492,0.2332,0.29074,0.05896,0.38551,0.1633,0.636,A12.23.06.2017 COSMOTE XAIDARI,
477,School,Room,I,U,1F,0.03402,0.13538,0.05966,0.0352,0.19635,0.20868,0.05878,0.39079,0.17766,0.542,,
478,School,Room,I,U,1F,0.03237,0.10431,0.05868,0.03492,0.25397,0.30854,0.05904,0.42892,0.16867,0.626,,
479,School,Room,I,U,1F,0.03764,0.1434,0.05848,0.03463,0.35071,0.29701,0.0588,0.35406,0.17328,0.63,,
480,School,Grafeio,I,U,1F,0.02962,0.07948,0.05867,0.03463,0.16124,0.14423,0.05896,0.26265,0.16044,0.396,,
481,School,Room,I,U,1F,0.02658,0.04592,0.05888,0.03474,0.14024,0.12395,0.0589,0.21581,0.17143,0.349,,
482,School,RT,O,U,,0.08124,0.3584,0.05983,0.03944,0.93925,1.35007,0.05903,3.55925,0.16691,3.943,,
483,School,Street,O,U,,0.04349,0.17032,0.0592,0.03512,0.3106,0.35373,0.05917,0.87502,0.16675,1.027,,
484,School,Street,O,U,,0.03953,0.13898,0.05907,0.03487,0.13346,0.18591,0.05918,0.4272,0.16148,0.539,,
485,Airport,Street,O,R,,0.02863,0.03338,0.06625,0.03818,1.1679,3.3343,0.07229,1.6142,0.19786,3.891,A13.14.09.2017 COSMOTE SKYROS AERODROMIO,
486,Airport,Street,O,R,,0.02547,0.03055,0.05896,0.03434,0.66667,1.148,0.06157,0.80769,0.25464,1.578,,
487,Airport,Street,O,R,,0.02544,0.0303,0.05902,0.03452,0.56145,0.93398,0.06119,1.2584,0.2295,1.683,,
488,Airport,Street,O,R,,0.02517,0.03047,0.05904,0.03431,0.29848,0.81374,0.05879,0.58339,0.15822,1.061,,
489,Airport,Grafeio,I,R,,0.02657,0.03056,0.05841,0.03416,0.31066,0.45755,0.05861,0.39394,0.16222,0.705,,
490,Airport,Grafeio,I,R,,0.02585,0.03032,0.05846,0.03434,0.31335,0.61131,0.05858,0.40692,0.18882,0.826,,
491,Airport,Grafeio,I,R,,0.02599,0.03037,0.05844,0.03436,0.14454,0.65463,0.05873,0.23217,0.20496,0.745,,
492,Airport,CheckIn,I,R,,0.02616,0.03041,0.05849,0.03434,0.45563,1.3514,0.0593,0.43045,0.16297,1.502,,
493,Airport,WaitingRoom,I,R,,0.02988,0.03038,0.05925,0.0347,0.79106,1.1047,0.05967,0.7632,0.18154,1.572,,
494,Airport,Street,O,R,,0.02605,0.03033,0.06045,0.03438,0.30699,0.43234,0.06101,0.4364,0.1618,0.713,,
495,Airport,Street,O,R,,0.02585,0.03153,0.07281,0.03498,0.37542,0.12003,0.13004,1.0136,0.16147,1.111,A14.21.09.2017 COSMOTE KYTHIRA AERODROMIO,
496,Airport,Street,O,R,,0.02889,0.03483,0.08111,0.03888,1.0135,0.10679,0.09896,2.0657,0.18339,2.315,,
497,Airport,Street,O,R,,0.02618,0.03128,0.06134,0.03509,0.45363,0.09069,0.08071,0.76697,0.16319,0.918,,
498,Airport,Street,O,R,,0.02611,0.03127,0.08461,0.03493,0.25959,0.12822,0.06721,1.095,0.16182,1.15,,
499,Airport,Grafeio,I,R,,0.02609,0.03093,0.07311,0.03496,0.0916,0.07628,0.06033,0.13787,0.16224,0.267,,
500,Airport,Grafeio,I,R,,0.02591,0.03109,0.07876,0.03492,0.13068,0.0909,0.0621,0.17872,0.16198,0.311,,
501,Airport,WaitingRoom,I,R,,0.02634,0.0312,0.07559,0.03529,0.09037,0.05712,0.07185,0.13734,0.16424,0.267,,
502,Airport,CheckIn,I,R,,0.02604,0.03106,0.05993,0.03547,0.11149,0.03302,0.06054,0.247,0.16724,0.336,,
503,Airport,BaggageRoom,I,R,,0.0263,0.03143,0.06022,0.03529,0.08485,0.10279,0.06068,0.11227,0.165,0.26,,
504,Airport,Grafeio,I,R,,0.02639,0.03151,0.06025,0.03548,0.07356,0.03809,0.06072,0.13462,0.17814,0.259,,
505,Airport,Kilikeio,I,R,,0.02655,0.03167,0.06066,0.03566,0.05277,0.04142,0.06089,0.11566,0.17547,0.243,,
506,Airport,Grafeio,I,R,,0.02631,0.03172,0.0946,0.03579,0.37754,0.05505,0.06095,0.9318,0.16519,1.028,,
507,Airport,ControlTower,I,R,,0.02583,0.03652,0.17782,0.13613,0.10158,0.04752,0.06907,0.20143,0.18955,0.382,,
508,Airport,Street,O,R,,0.02664,0.03158,0.09164,0.03515,0.14144,0.02911,0.06021,0.32956,0.1626,0.413,,
509,Airport,Grafeio,I,R,,0.02625,0.09828,0.05881,0.03486,0.0885,0.04158,0.05956,0.1187,0.16377,0.263,A15.28.09.2017 COSMOTE IOANNINA AERODROMIO,
